,hotel name,city,score,review rate,reviews,room type,occupancy,Free cancellation,No prepayment needed,rooms left,price,location rate,bb included
0,"Radisson Blu Hotel, Athlone",Athlone,7.9,Good,6092,Standard Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,5,259.0,No rated,Room Only
1,Sheraton Athlone Hotel,Athlone,8.7,Excellent,5418,Classic King Room,1 king bed,Free cancellation,Prepayment needed,5,275.0, 9.4,Room Only
2,Clayton Hotel Dublin Airport,Cloghran,8.3,Very Good,23489,Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,259.0,No rated,Room Only
3,Lawlors Hotel,Naas,8.8,Excellent,2379,Twin Room,2 full beds,Free cancellation,No prepayment needed,2,329.0, 9.4,Room Only
4,The Glendalough Hotel,Laragh,7.1,Good,989,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,4,220.0, 9.5,Breakfast included
5,Hannon's Hotel,Roscommon,7.7,Good,1061,Double Room,1 full bed,Free cancellation,Prepayment needed,4,135.0,No rated,Breakfast included
6,"Mount Errigal Hotel, Conference & Leisure Centre",Letterkenny,7.6,Good,2473,Standard Twin Room,2 twin beds,Check Policy,Prepayment needed,0,135.0,No rated,Room Only
7,Beckett Locke,"Dublin City Centre, Dublin",9.0,Wonderful,5887,Locke Studio,1 queen bed,Check Policy,Prepayment needed,0,296.0,No rated,Room Only
8,The Glenbeigh Hotel,Glenbeigh,8.6,Excellent,893,Standard Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,179.0,No rated,Breakfast included
9,Talbot Hotel Clonmel,Clonmel,7.7,Good,1064,Double Room,1 full bed,Free cancellation,Prepayment needed,3,159.0,No rated,Room Only
10,The Fitzwilton Hotel,Waterford,8.3,Very Good,2570,Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,0,190.0,No rated,Room Only
11,Fennessy's Hotel,Clonmel,7.1,Good,732,Twin Room,2 twin beds,Free cancellation,No prepayment needed,3,217.0,No rated,Room Only
12,Maldron Hotel & Leisure Centre Limerick,Limerick,7.9,Good,70,King Room,1 full bed,Free cancellation,No prepayment needed,5,219.0,No rated,Room Only
13,Hodson Bay Hotel,Athlone,7.9,Good,2151,Retreat with Lake View (Adults Only),1 queen bed,Check Policy,Prepayment needed,0,270.0,No rated,Room Only
14,Clanree Hotel & Leisure Centre,Letterkenny,8.5,Very Good,2198,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,135.0,No rated,Room Only
15,Ashdown Park Hotel,Gorey,8.5,Very Good,1266,Classic Double or Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,5,253.0,No rated,Breakfast included
16,Carlton Hotel Dublin Airport,Cloghran,8.1,Very Good,3966,Classic Double Room,1 king bed,Check Policy,Prepayment needed,0,269.0,No rated,Room Only
17,Woodlands Hotel & Leisure Centre,Waterford,8.1,Very Good,2610,Family Room,"3 beds (2 twins, 1 queen)",Free cancellation,No prepayment needed,2,209.0,No rated,Room Only
18,"Powerscourt Hotel, Autograph Collection",Enniskerry,8.9,Excellent,1720,Guestroom with Two Single Beds,2 twin beds,Check Policy,Prepayment needed,0,450.0, 9.5,Room Only
19,Maldron Hotel Dublin Airport,Cloghran,7.7,Good,11305,Twin Room,2 twin beds,Free cancellation,No prepayment needed,0,242.0,No rated,Room Only
20,The Johnstown Estate,Enfield,8.5,Very Good,1221,Deluxe Twin Bedroom,2 twin beds,Check Policy,Prepayment needed,2,279.0,No rated,Breakfast included
21,Maldron Hotel South Mall Cork City,Cork,8.4,Very Good,5148,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,6,250.0, 9.4,Room Only
22,Imperial Hotel Cork City,Cork,8.7,Excellent,4401,Classic Double Room,1 full bed,Free cancellation,No prepayment needed,0,230.0, 9.6,Room Only
23,"Belleek Castle, Ballina",Ballina,8.7,Excellent,448,Family Room,Multiple bed types,Check Policy,Prepayment needed,1,299.0, 9.3,Breakfast included
