hotel name,city,certification,score,review rate,reviews,room type,occupancy,Free cancellation,pay at the property,No prepayment needed,rooms left,nights/adults,price,location rate,bb included
"Radisson Blu Hotel, Athlone",Athlone,Sustainability certification,7.9,Good,"6,092 reviews",Standard Room,Beds: 1 double or 2 twins,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 259,,
Sheraton Athlone Hotel,Athlone,Sustainability certification,8.7,Excellent,"5,418 reviews",Classic King Room,1 king bed,Free cancellation,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 275,Location 9.4,
Clayton Hotel Dublin Airport,Cloghran,Sustainability certification,8.3,Very Good,"23,489 reviews",Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,,,,"1 night, 2 adults",€ 259,,
Lawlors Hotel,Naas,,8.8,Excellent,"2,379 reviews",Twin Room,2 full beds,Free cancellation,– pay at the property,No prepayment needed,Only 2 rooms left at this price on our site,"1 night, 2 adults",€ 329,Location 9.4,
The Glendalough Hotel,Laragh,,7.1,Good,989 reviews,Double or Twin Room,Beds: 1 double or 2 twins,,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 220,Location 9.5,Breakfast included
Hannon's Hotel,Roscommon,,7.7,Good,"1,061 reviews",Double Room,1 full bed,Free cancellation,,,Only 4 rooms left at this price on our site,"1 night, 2 adults",€ 135,,Breakfast included
"Mount Errigal Hotel, Conference & Leisure Centre",Letterkenny,,7.6,Good,"2,473 reviews",Standard Twin Room,2 twin beds,,,,,"1 night, 2 adults",€ 135,,
Beckett Locke,"Dublin City Centre, Dublin",•  •  •,9,Wonderful,"5,887 reviews",Locke Studio,1 queen bed,,,,,"1 night, 2 adults",€ 296,,
The Glenbeigh Hotel,Glenbeigh,,8.6,Excellent,893 reviews,Standard Twin Room,2 twin beds,Free cancellation,,,Only 1 room left at this price on our site,"1 night, 2 adults",€ 179,,Breakfast included
Talbot Hotel Clonmel,Clonmel,,7.7,Good,"1,064 reviews",Double Room,1 full bed,Free cancellation,,,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 159,,
The Fitzwilton Hotel,Waterford,,8.3,Very Good,"2,570 reviews",Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,– pay at the property,No prepayment needed,,"1 night, 2 adults",€ 190,,
Fennessy's Hotel,Clonmel,,7.1,Good,732 reviews,Twin Room,2 twin beds,Free cancellation,– pay at the property,No prepayment needed,Only 3 rooms left at this price on our site,"1 night, 2 adults",€ 217,,
Maldron Hotel & Leisure Centre Limerick,Limerick,Sustainability certification,7.9,Good,70 reviews,King Room,1 full bed,Free cancellation,– pay at the property,No prepayment needed,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 219,,
Hodson Bay Hotel,Athlone,Sustainability certification,7.9,Good,"2,151 reviews",Retreat with Lake View (Adults Only),1 queen bed,,,,,"1 night, 2 adults",€ 270,,
Clanree Hotel & Leisure Centre,Letterkenny,,8.5,Very Good,"2,198 reviews",Double or Twin Room,Beds: 1 double or 2 twins,,,,,"1 night, 2 adults",€ 135,,
Ashdown Park Hotel,Gorey,Managed by a private host,8.5,Very Good,"1,266 reviews",Classic Double or Twin Room,"2 beds (1 twin, 1 full)",,,,Only 5 rooms left at this price on our site,"1 night, 2 adults",€ 253,,Breakfast included
Carlton Hotel Dublin Airport,Cloghran,Sustainability certification,8.1,Very Good,"3,966 reviews",Classic Double Room,1 king bed,,,,,"1 night, 2 adults",€ 269,,
